names,max_time,my_rating,mechanic,category,weight
Splendor,30,6,"Card Drafting, Set Collection","Card Game, Economic, Renaissance",1.8317
Viticulture,90,2,"Hand Management, Worker Placement","Economic, Farming",2.9378
Ticket to Ride,60,5,"Card Drafting, Hand Management, Route/Network Building, Set Collection","Trains, Travel",1.8694
Raiders of the North Sea,120,6,"Hand Management, Set Collection, Worker Placement","Medieval, Nautical",2.5824
Galaxy Trucker,60,9,"Dice Rolling, Partnerships, Tile Placement","Humor, Real-time, Science Fiction, Space Exploration, Transportation",2.3211
Carcassonne,45,5,"Area Control / Area Influence, Tile Placement","City Building, Medieval, Territory Building",1.9317
Mysterium,42,6,"Co-operative Play, Hand Management, Pattern Recognition","Deduction, Murder/Mystery, Party Game",1.9197
Deception: Murder in Hong Kong,20,8,Partnerships,"Bluffing, Deduction, Murder/Mystery, Party Game, Spies/Secret Agents",1.6069
Exit: The Game – The Abandoned Cabin,90,8,Co-operative Play,"Deduction, Puzzle, Real-time",2.4889
Dixit,30,4,"Simultaneous Action Selection, Storytelling, Voting","Card Game, Humor, Party Game",1.2463
Burgle Bros.,90,8,"Action Point Allowance System, Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers","Exploration, Maze, Spies/Secret Agents",2.3026
Clank! In! Space!,60,8,"Card Drafting, Deck / Pool Building, Modular Board, Player Elimination, Point to Point Movement, Press Your Luck",Science Fiction,2.6
Hive,20,2,"Grid Movement, Tile Placement","Abstract Strategy, Animals",2.3366
Century: Spice Road,45,6,"Card Drafting, Deck / Pool Building, Hand Management, Set Collection","Card Game, Economic, Medieval",1.7598
Love Letter,20,5,"Hand Management, Player Elimination","Card Game, Deduction, Renaissance",1.1998
Takenoko,45,5,"Action Point Allowance System, Dice Rolling, Grid Movement, Modular Board, Pattern Building, Set Collection, Tile Placement","Animals, Environmental, Farming, Territory Building",1.9781
Survive: Escape from Atlantis!,60,6,"Action Point Allowance System, Dice Rolling, Grid Movement, Memory, Modular Board, Secret Unit Deployment","Adventure, Animals, Bluffing, Nautical",1.7112
Arkham Horror,360,6,"Co-operative Play, Dice Rolling, Hand Management, Point to Point Movement, Role Playing, Variable Player Powers","Adventure, Fantasy, Fighting, Horror, Novel-based",3.5532
Flash Point: Fire Rescue,45,8,"Action Point Allowance System, Co-operative Play, Dice Rolling, Grid Movement, Pick-up and Deliver, Simulation, Variable Player Powers",Adventure,2.2062
Mansions of Madness,120,8,"Area Movement, Dice Rolling, Hand Management, Modular Board, Partnerships, Pick-up and Deliver, Role Playing, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",3.2415
Forbidden Desert,45,6,"Action Point Allowance System, Co-operative Play, Grid Movement, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers","Adventure, Fantasy, Science Fiction",2.0387
Descent: Journeys in the Dark,240,5,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Miniatures",3.3405
Catan,120,4,"Dice Rolling, Hand Management, Modular Board, Route/Network Building, Trading",Negotiation,2.3488
Harry Potter: Hogwarts Battle,60,6,"Co-operative Play, Deck / Pool Building, Variable Player Powers","Card Game, Movies / TV / Radio theme, Novel-based",2.0426
Dinosaur Island,120,3,"Action Point Allowance System, Dice Rolling, Set Collection, Tile Placement, Worker Placement","Dice, Economic, Science Fiction",2.9394
Bohnanza,45,4,"Hand Management, Set Collection, Trading","Card Game, Farming, Negotiation",1.6763
Spyfall,15,6,"Acting, Memory, Role Playing, Voting","Bluffing, Deduction, Humor, Party Game, Spies/Secret Agents",1.2658
Potion Explosion,45,6,"Pattern Recognition, Set Collection, Take That","Fantasy, Puzzle",1.7179
Betrayal at House on the Hill,60,7,"Co-operative Play, Dice Rolling, Modular Board, Partnerships, Player Elimination, Role Playing, Storytelling, Variable Player Powers","Adventure, Exploration, Horror, Miniatures",2.3664
BANG! The Dice Game,15,5,"Dice Rolling, Partnerships, Player Elimination, Press Your Luck, Variable Player Powers","American West, Bluffing, Deduction, Dice, Fighting, Party Game",1.2851
Wits & Wagers,25,6,"Betting/Wagering, Paper-and-Pencil","Bluffing, Party Game, Trivia",1.2219
Blokus,20,6,"Area Enclosure, Hand Management, Tile Placement","Abstract Strategy, Territory Building",1.7865
Concept,40,7,Partnerships,"Deduction, Party Game",1.429
Telestrations: 12 Player Party Pack,30,7,"Line Drawing, Paper-and-Pencil",Party Game,1.0968
Forbidden Island,30,7,"Action Point Allowance System, Co-operative Play, Grid Movement, Hand Management, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers","Adventure, Fantasy",1.7363
Rhino Hero,15,2,Hand Management,"Action / Dexterity, Animals, Children's Game, Party Game",1.0305
The Fox in the Forest,30,6,"Hand Management, Trick-taking","Animals, Card Game, Fantasy",1.6333
Downforce,40,6,"Auction/Bidding, Betting/Wagering, Hand Management, Variable Player Powers",Racing,1.8571
Smash Up,45,5,"Area Control / Area Influence, Hand Management, Take That, Variable Player Powers","Card Game, Fantasy, Humor, Pirates, Science Fiction, Zombies",2.0484
Qwixx,15,5,"Dice Rolling, Paper-and-Pencil",Dice,1.1331
5-Minute Dungeon,30,7,"Co-operative Play, Hand Management, Variable Player Powers","Card Game, Fantasy, Fighting, Real-time",1.0984
Castle Panic,60,5,"Campaign / Battle Card Driven, Co-operative Play, Dice Rolling, Hand Management, Trading, Variable Player Powers","Fantasy, Fighting, Medieval",1.6699
Say Anything,30,6,"Betting/Wagering, Paper-and-Pencil","Humor, Party Game",1.096
Ticket to Ride: Rails & Sails,120,5,"Card Drafting, Hand Management, Route/Network Building, Set Collection","Trains, Travel",2.6774
Escape from the Aliens in Outer Space,45,5,"Area Movement, Paper-and-Pencil, Partnerships, Secret Unit Deployment","Horror, Party Game, Science Fiction",1.84
Eight-Minute Empire,20,5,"Area Control / Area Influence, Area Movement, Card Drafting, Set Collection",Territory Building,1.6257
Decrypto,45,7,Partnerships,"Deduction, Word Game",1.8889
Cutthroat Caverns,90,6,"Hand Management, Player Elimination, Role Playing, Simultaneous Action Selection","Adventure, Card Game, Fantasy, Fighting, Humor",2.072
Explorers of the North Sea,60,6,"Action Point Allowance System, Area Control / Area Influence, Modular Board, Pick-up and Deliver, Set Collection, Tile Placement, Variable Player Powers","Exploration, Medieval, Nautical",2.05
Santorini,20,4,"Grid Movement, Tile Placement, Variable Player Powers","Abstract Strategy, Ancient, Mythology",2.4
Arkham Horror,180,6,Co-operative Play,"Adventure, Horror, Novel-based",2.3043
Munchkin,120,4,"Card Drafting, Dice Rolling, Hand Management, Take That, Variable Player Powers","Card Game, Fantasy, Fighting, Humor",1.7899
Superfight,30,6,"Storytelling, Variable Player Powers, Voting","Card Game, Comic Book / Strip, Fighting, Humor, Party Game, Science Fiction",1.2778
Exploding Kittens,15,6,"Hand Management, Player Elimination, Press Your Luck, Set Collection, Take That","Animals, Card Game, Comic Book / Strip, Humor",1.0708
